mun.id,Platform,tgt.category,MER (m)
MGM-168,MLRS,Light-Skinned Vehicle,93.86641816
ZMGM-168B,MLRS,Light-Skinned Vehicle,62.57761211
GBU-10,F-15E,Light-Skinned Vehicle,197.1555717
GBU-39,F-15E,Light-Skinned Vehicle,46.47001389
AGM-158A,F-15E,Light-Skinned Vehicle,136.4779279
AGM-158B,F-15E,Light-Skinned Vehicle,136.4779279
RGM-109C-2,CCM,Light-Skinned Vehicle,131.5298499
RGM-109C-3,CCM,Light-Skinned Vehicle,131.5298499
RGM-84E,CCM,Light-Skinned Vehicle,96.793559
RGM-84H,CCM,Light-Skinned Vehicle,96.793559
MGM-168,MLRS,Communications Tower,90.29146012
ZMGM-168B,MLRS,Communications Tower,60.19430675
GBU-10,F-15E,Communications Tower,188.5025668
GBU-39,F-15E,Communications Tower,44.43048108
AGM-158A,F-15E,Communications Tower,85.25398384
AGM-158B,F-15E,Communications Tower,85.25398384
RGM-109C-2,CCM,Communications Tower,91.60166623
RGM-109C-3,CCM,Communications Tower,91.60166623
RGM-84E,CCM,Communications Tower,91.60166623
RGM-84H,CCM,Communications Tower,91.60166623
MGM-168,MLRS,Fuel Depot,59.63519672
ZMGM-168B,MLRS,Fuel Depot,39.75679781
GBU-10,F-15E,Fuel Depot,84.75725198
GBU-39,F-15E,Fuel Depot,19.97747588
AGM-158A,F-15E,Fuel Depot,104.0518977
AGM-158B,F-15E,Fuel Depot,104.0518977
RGM-109C-2,CCM,Fuel Depot,101.1379605
RGM-109C-3,CCM,Fuel Depot,101.1379605
RGM-84E,CCM,Fuel Depot,61.9139031
RGM-84H,CCM,Fuel Depot,61.9139031
MGM-168,MLRS,House,169.0604774
ZMGM-168B,MLRS,House,112.7069849
GBU-10,F-15E,House,171.2385191
GBU-39,F-15E,House,40.36130603
AGM-158A,F-15E,House,110.6252169
AGM-158B,F-15E,House,110.6252169
RGM-109C-2,CCM,House,114.0097601
RGM-109C-3,CCM,House,114.0097601
RGM-84E,CCM,House,86.61771886
RGM-84H,CCM,House,86.61771886
MGM-168,MLRS,SAM Radar,109.0290676
ZMGM-168B,MLRS,SAM Radar,72.68604506
GBU-10,F-15E,SAM Radar,148.7837769
GBU-39,F-15E,SAM Radar,35.06867253
AGM-158A,F-15E,SAM Radar,92.47901463
AGM-158B,F-15E,SAM Radar,92.47901463
RGM-109C-2,CCM,SAM Radar,88.30884733
RGM-109C-3,CCM,SAM Radar,88.30884733
RGM-84E,CCM,SAM Radar,72.90993911
RGM-84H,CCM,SAM Radar,72.90993911
MGM-168,MLRS,SAM Launcher,80.94938263
ZMGM-168B,MLRS,SAM Launcher,53.96625508
GBU-10,F-15E,SAM Launcher,182.3141446
GBU-39,F-15E,SAM Launcher,42.97185599
AGM-158A,F-15E,SAM Launcher,114.3967936
AGM-158B,F-15E,SAM Launcher,114.3967936
RGM-109C-2,CCM,SAM Launcher,111.1088541
RGM-109C-3,CCM,SAM Launcher,111.1088541
RGM-84E,CCM,SAM Launcher,99.04084853
RGM-84H,CCM,SAM Launcher,99.04084853
MGM-168,MLRS,Building,60.09769117
ZMGM-168B,MLRS,Building,40.06512745
GBU-10,F-15E,Building,60.87194239
GBU-39,F-15E,Building,14.34765442
AGM-158A,F-15E,Building,26.82675292
AGM-158B,F-15E,Building,26.82675292
RGM-109C-2,CCM,Building,31.24932979
RGM-109C-3,CCM,Building,31.24932979
RGM-84E,CCM,Building,27.76991371
RGM-84H,CCM,Building,27.76991371
MGM-168,MLRS,Personnel,102.9630445
ZMGM-168B,MLRS,Personnel,68.64202967
GBU-10,F-15E,Personnel,417.6536451
GBU-39,F-15E,Personnel,98.44190822
AGM-158A,F-15E,Personnel,291.5775505
AGM-158B,F-15E,Personnel,291.5775505
RGM-109C-2,CCM,Personnel,241.7452417
RGM-109C-3,CCM,Personnel,241.7452417
RGM-84E,CCM,Personnel,190.5345095
RGM-84H,CCM,Personnel,190.5345095
